site_no,year,value,count
252115080293701,2021,0.708,5
252115080293701,2022,0.53,4
252115080293701,2023,0.29000000000000004,4
252115080293701,2024,0.6799999999999999,4
252115080293701,2025,1.12,3
252116080193501,2011,-6.73,1
252116080193501,2012,-6.465,2
252116080193501,2013,-6.43,1
252116080193501,2014,-5.99,1
252116080193501,2015,-6.52,1
252116080193501,2016,-6.4,1
252116080193501,2017,-6.19,1
252116080193501,2018,-7.16,1
252116080193501,2019,-6.52,1
252116080193501,2020,-6.61,1
252116080193501,2021,-6.79,1
252116080193501,2022,-6.52,1
252116080193501,2023,-6.75,1
252116080193501,2024,-6.49,1
252116080193501,2025,-7.19,1
252120080293601,1985,2.3536363636363635,11
252120080293601,1986,2.4675000000000002,4
252120080293601,1990,2.9725,4
252120080293601,1991,2.7275,4
252120080293601,1992,2.955,4
252120080293601,1993,2.3716666666666666,6
252120080293601,1994,2.2958333333333334,12
252120080293601,1995,2.2511111111111113,9
252201080223201,2018,3.92,1
252201080223201,2019,4.14,1
252201080223201,2020,4.11,1
252201080223201,2021,4.19,1
252201080223201,2022,4.23,1
252201080223201,2023,4.29,1
252201080223201,2024,4.03,1
252201080223201,2025,4.13,1
252202080240001,2021,2.57,1
252202080240001,2022,2.64,1
252202080240001,2023,2.68,1
252202080240001,2024,2.63,1
252202080240001,2025,2.99,1
252212080244401,2011,3.64,1
252212080244401,2012,2.99,1
252212080244401,2013,2.95,1
252212080244401,2014,2.97,1
252212080244401,2015,3.05,1
252212080244401,2016,2.61,1
252212080244401,2017,2.93,1
252212080244401,2018,2.83,1
252212080244401,2019,2.61,1
252212080244401,2020,2.815,2
252212080244401,2021,2.44,1
252212080244401,2022,2.54,1
252212080244401,2023,2.65,1
252212080244401,2024,2.36,1
252212080244401,2025,2.78,1
252228080275501,1984,3.455,2
252228080275501,1985,3.2675,12
252228080275501,1986,3.335,4
252228080275501,1990,3.3619999999999997,5
252228080275501,1991,3.072,5
252228080275501,1992,3.357142857142857,7
252228080275501,1993,3.1271428571428572,7
252228080275501,1994,3.015,12
252228080275501,1995,3.1036363636363635,11
252228080275501,1996,3.2708333333333335,12
252228080275501,1997,3.375,8
252228080282401,1984,2.7649999999999997,2
252228080282401,1985,2.5225,12
252228080282401,1986,2.5925000000000002,4
252229080284201,2011,4.16,1
252229080284201,2012,3.52,1
252229080284201,2013,3.58,1
252229080284201,2014,3.53,1
252229080284201,2015,3.76,1
252229080284201,2016,3.24,1
252229080284201,2017,3.54,1
252229080284201,2018,3.5,1
252229080284201,2019,3.42,1
252229080284201,2020,3.33,1
252229080284201,2021,3.13,1
252229080284201,2022,3.25,1
252229080284201,2023,3.27,1
252229080284201,2024,3.01,1
252229080284201,2025,3.43,1
252238080195401,2016,4.34,1
252238080195401,2017,5.1,1
252238080195401,2018,4.7,1
252238080195401,2019,4.8,2
252238080195401,2020,4.98,1
252238080195401,2021,4.7,1
252238080195401,2022,4.93,1
252238080195401,2023,4.18,1
252238080195401,2024,4.77,1
252238080195401,2025,4.52,1
252243080335501,1996,0.7999999999999999,3
252243080335501,1997,1.132857142857143,7
252243080335501,1998,1.0,5
252243080335501,1999,0.9583333333333334,6
252243080335501,2000,0.975,4
252243080335501,2001,1.00375,8
252243080335501,2002,1.19,5
252243080335501,2003,0.9114285714285714,7
252243080335501,2004,1.69,4
252243080335501,2005,0.8514285714285714,7
252243080335501,2006,1.15,4
252243080335501,2007,1.4,4
252243080335501,2008,1.4475,4
252243080335501,2009,1.1960000000000002,5
252243080335501,2010,1.068,5
252243080335501,2011,1.3666666666666665,12
252243080335501,2012,1.1833333333333333,3
252243080335501,2013,0.56,1
252254080221101,2011,2.21,1
252254080221101,2012,1.91,1
252254080221101,2013,1.56,1
252254080221101,2014,1.64,1
252254080221101,2015,3.01,1
252254080221101,2016,2.65,1
252254080221101,2017,2.87,1
252254080221101,2018,2.85,1
252254080221101,2019,2.75,1
252254080221101,2020,2.83,1
252254080221101,2021,2.89,1
252254080221101,2022,2.87,1
252254080221101,2023,2.96,1
252254080221101,2024,2.67,1
252254080221101,2025,2.94,1
252255080361101,1970,-25.5,1
252255080361101,1971,-35.8,1
252255080361101,1972,-37.0,1
252255080361101,1973,-36.8,1
252255080361101,1974,-37.8,1
252255080361101,1975,-37.3,1
252255080361101,1976,-38.1,1
252255080361101,1977,-37.6,1
252255080361101,1978,-37.8,1
252255080361101,1979,-38.1,1
252255080361101,1980,-37.2,1
252255080361101,1985,-37.0,1
252255080361101,1995,-32.19,1
252312080320301,2010,0.56,1
252312080320301,2011,1.0733333333333335,6
252312080320301,2012,1.025,4
252312080320301,2013,1.2375,4
252312080320301,2015,0.8460000000000001,5
252312080320301,2016,1.03,3
252312080320301,2017,0.9375,4
252312080320301,2018,0.925,4
252312080320301,2019,0.955,2
252312080320301,2020,0.5966666666666667,3
252312080320301,2021,1.0275,12
252312080320301,2022,0.9,4
252312080320301,2023,0.44333333333333336,6
252312080320301,2024,0.6,4
252312080320301,2025,0.9950000000000001,2
252320080261201,1985,2.78,12
252320080261201,1986,2.8075,4
252320080261201,1990,2.782,5
252320080261201,1991,3.155,2
252332080300501,1996,3.0683333333333334,6
252332080300501,1997,2.81,5
252332080300501,1998,2.964,5
252332080300501,1999,2.785,6
252332080300501,2000,2.605,8
252332080300501,2001,3.01,4
252332080300501,2002,3.3200000000000003,6
252332080300501,2003,3.0175,4
252332080300501,2004,3.485,4
252332080300501,2005,2.646,5
252332080300501,2006,2.7183333333333337,6
252332080300501,2007,2.73125,8
252332080300501,2008,2.908,5
252332080300501,2009,2.763333333333333,6
252332080300501,2010,2.595,4
252332080300501,2011,2.6100000000000003,4
252332080300501,2012,3.15,4
252332080300501,2013,2.8842857142857143,7
252332080300501,2014,2.8414285714285716,7
252332080300501,2015,3.0283333333333338,6
252332080300501,2016,2.7800000000000002,7
252332080300501,2017,2.9699999999999998,7
252332080300501,2018,3.16,6
252332080300501,2019,3.2085714285714286,7
252332080300501,2020,2.7133333333333334,3
252332080300501,2021,2.5833333333333335,6
252332080300501,2022,2.4675000000000002,4
252332080300501,2023,2.3133333333333335,6
252332080300501,2024,2.48,4
252332080300501,2025,3.005,2
252334080280101,1984,2.31,2
252334080280101,1985,2.098333333333333,12
252334080280101,1986,2.1725,4
252334080280101,1990,2.21,5
252334080280101,1991,2.2383333333333333,6
252334080280101,1992,2.2359999999999998,5
252334080280101,1993,2.0416666666666665,6
252334080280101,1994,1.87,12
252334080280101,1995,1.9577777777777778,9
252339080210701,2011,3.44,1
252339080210701,2012,3.35,1
252339080210701,2013,3.58,1
252339080210701,2014,3.88,1
252339080210701,2015,3.63,1
252339080210701,2016,3.14,1
252339080210701,2017,3.57,1
252339080210701,2018,3.66,1
252339080210701,2019,3.48,1
252339080210701,2020,3.59,1
252339080210701,2021,3.43,1
252339080210701,2022,3.32,1
252339080210701,2023,3.22,1
252339080210701,2024,3.3,1
252339080210701,2025,3.42,1
252349080181501,2011,-6.19,1
252349080181501,2012,-5.67,2
252349080181501,2013,-5.92,1
252349080181501,2014,-4.87,1
252349080181501,2015,-6.89,1
252349080181501,2016,-5.52,1
252349080181501,2017,-6.46,1
252349080181501,2018,-6.11,1
252349080181501,2019,-6.19,1
252349080181501,2020,-5.31,1
252349080181501,2021,-6.39,1
252349080181501,2022,-6.08,1
252349080181501,2023,-6.33,1
252349080181501,2024,-6.87,1
252349080181501,2025,-5.78,1
252425080320001,2010,4.37,2
252425080320001,2011,4.7299999999999995,6
252425080320001,2014,4.595000000000001,4
252425080320001,2015,4.478571428571429,7
252425080320001,2016,4.515714285714286,7
252425080320001,2017,4.651666666666666,6
252425080320001,2018,4.651666666666666,6
252425080320001,2019,4.628,5
252425080320001,2020,4.375,4
252425080320001,2021,4.688666666666666,15
252425080320001,2022,4.428,10
252425080320001,2023,4.395,2
252426080271001,1985,2.785833333333333,12
252426080271001,1986,2.5825,4
252426080271001,1990,2.744,5
252426080271001,1991,2.6700000000000004,5
252426080271001,1992,2.5375,4
252427080281301,1984,3.1799999999999997,2
252427080281301,1985,2.9258333333333333,12
252427080281301,1986,3.215,4
252431080261001,2011,1.9633333333333332,12
252431080261001,2012,1.775,10
252431080261001,2013,1.9976923076923077,13
252431080261001,2014,1.9108333333333334,12
252431080261001,2015,1.9366666666666665,12
252431080261001,2016,1.7941666666666667,12
252431080261001,2017,2.2416666666666667,12
252431080261001,2018,2.0533333333333332,12
252431080261001,2019,2.06,12
252431080261002,2011,1.68,2
252431080261002,2012,1.5199999999999998,11
252431080261002,2013,1.7,12
252431080261002,2014,1.6900000000000002,12
252431080261002,2015,1.6983333333333335,12
252431080261002,2016,1.5316666666666665,12
252431080261002,2017,1.8909090909090909,11
252431080261002,2018,1.7733333333333334,12
252431080261002,2019,1.7808333333333335,12
252436080270901,2011,2.64,1
252436080270901,2012,2.13,1
252436080270901,2013,1.89,1
252436080270901,2014,2.24,1
252436080270901,2015,2.4,1
252436080270901,2016,2.11,1
252436080270901,2017,2.32,1
252436080270901,2018,2.18,1
252436080270901,2019,1.57,1
252436080270901,2020,2.09,1
252436080270901,2021,2.0,1
252436080270901,2022,2.08,1
252436080270901,2023,2.09,1
252436080270901,2024,1.6,1
252436080270901,2025,2.16,1
252452080273801,1985,2.537272727272727,11
252452080273801,1986,2.7375,4
252502080253901,1996,1.08,2
252502080253901,1997,0.82,6
252502080253901,1998,0.9325,4
252502080253901,1999,0.9259999999999999,5
252502080253901,2000,0.9125000000000001,4
252502080253901,2001,0.74,4
252502080253901,2002,1.28,5
252502080253901,2003,0.9550000000000001,4
252502080253901,2004,1.242,5
252502080253901,2005,0.865,4
252502080253901,2006,0.774,5
252502080253901,2007,0.9125000000000001,4
252502080253901,2008,0.9716666666666667,6
252502080253901,2009,1.1466666666666667,9
252502080253901,2010,0.43,4
252502080253901,2011,0.725,4
252502080253901,2012,0.9233333333333333,3
252502080253901,2013,1.0985714285714285,7
252502080253901,2014,0.9816666666666666,6
252502080253901,2015,0.9862500000000001,8
252502080253901,2016,0.7324999999999999,8
252502080253901,2017,0.9833333333333334,6
252502080253901,2018,1.1366666666666667,6
252502080253901,2019,0.82,5
252502080253901,2020,0.8428571428571429,7
252502080253901,2021,0.41500000000000004,8
252502080253901,2022,0.378,5
252502080253901,2023,0.5466666666666667,3
252502080253901,2024,0.4533333333333333,3
252502080253901,2025,1.092857142857143,7
252502080254301,1985,0.5941666666666666,12
252502080254301,1986,0.8425,4
252502080254301,1990,0.8875000000000001,4
252502080254301,1991,0.95,4
252502080254301,1992,1.0125,4
252502080254301,1993,0.6866666666666666,6
252502080254301,1994,0.503,10
252502080254301,1995,0.69,8
252502080254301,1996,0.6783333333333333,12
252502080254301,1997,0.5033333333333333,12
252502080254301,1998,0.7088888888888889,9
252506080261001,2018,2.0033333333333334,3
252506080261001,2019,1.99,4
252506080261001,2020,1.839,10
252506080261001,2021,1.97,12
252506080261001,2022,1.8993333333333333,15
252506080261001,2023,1.7474999999999998,12
252506080261001,2024,1.7192307692307693,13
252506080261001,2025,2.0075,8
252506080282201,1983,1.9599999999999997,5
252506080282201,1984,2.1350000000000002,12
252506080282201,1985,2.0509090909090912,11
252506080282201,1986,2.6533333333333333,3
252506080282201,1990,2.17875,8
252506080282201,1991,2.0136363636363637,11
252506080282201,1992,2.24,3
252506080282201,1996,0.7666666666666666,6
252506080282201,1997,0.9833333333333333,9
252506080300601,2009,5.782666666666667,15
252506080300601,2010,5.5008333333333335,12
252506080300601,2011,5.970769230769231,13
252506080300601,2012,5.629166666666666,12
252506080300601,2013,5.732307692307692,13
252506080300601,2014,5.896666666666667,12
252506080300601,2015,5.807857142857143,14
252506080300601,2016,5.649230769230769,13
252506080300601,2017,5.957692307692308,13
252506080300601,2018,5.819166666666667,12
252506080300601,2019,5.826875,16
252506080300601,2020,5.600416666666667,24
252506080300601,2021,5.796,25
252506080300601,2022,5.749285714285714,28
252506080300601,2023,5.894444444444444,9
252507080262401,2023,1.11,3
252507080262401,2024,1.1376923076923076,13
252507080262401,2025,1.37,9
252512080221801,2019,1.33,1
252512080221801,2020,1.31,1
252512080221801,2021,1.33,1
252512080221801,2022,1.17,1
252512080221801,2023,1.19,1
252512080221801,2024,0.88,1
252512080221801,2025,1.18,1
252520080261001,2018,2.45,2
252520080261001,2019,2.38,1
252520080261001,2020,2.27,1
252520080261001,2021,2.17,1
252520080261001,2022,2.25,1
252520080261001,2023,2.19,1
252520080261001,2024,1.93,1
252520080261001,2025,2.26,1
252524080241301,2011,0.73,1
252524080241301,2012,0.14,2
252524080241301,2013,-0.27,1
252524080241301,2014,0.21,1
252524080241301,2015,0.54,1
252524080241301,2016,0.31,1
252524080241301,2017,0.28,1
252524080241301,2018,0.43,1
252524080241301,2019,0.43,1
252524080241301,2020,0.58,1
252524080241301,2021,0.29,1
252524080241301,2022,0.28,1
252524080241301,2023,0.39,1
252524080241301,2024,-0.15,1
252524080241301,2025,0.32,1
252532080244301,1983,2.025714285714286,7
252532080244301,1984,2.1,12
252532080244301,1985,2.673,10
252532080244301,1986,2.6350000000000002,10
252532080244301,1987,2.43,10
252532080244301,1989,2.3725,4
252532080244301,1990,2.566153846153846,13
252532080244301,1991,2.2041666666666666,12
252532080244301,1992,2.429,10
252532080244301,1993,2.459230769230769,13
252532080244301,1994,2.519,10
252532080244301,1995,2.537272727272727,11
252532080244301,1996,2.7100000000000004,13
252532080244301,1997,2.6149999999999998,8
252543080344201,1987,1.02,1
252543080344202,1987,1.05,1
252543080344203,1986,2.29,1
252543080344203,1987,1.08,1
252547080383501,1976,0.7333333333333334,3
252547080383501,1977,1.4175,8
252547080383501,1978,0.5716666666666667,6
252547080383501,1979,2.27,3
252557080210201,2016,3.39,1
252557080210201,2017,3.94,1
252557080210201,2018,4.04,1
252557080210201,2019,3.97,2
252557080210201,2020,4.29,1
252557080210201,2021,3.85,1
252557080210201,2022,3.78,1
252557080210201,2023,3.6,1
252557080210201,2024,3.76,1
252557080210201,2025,3.73,1
252558080321401,1985,9.3,1
252601080211601,2011,3.29,1
252601080211601,2012,3.17,1
252601080211601,2013,3.03,1
252601080211601,2014,3.35,1
252601080211601,2015,3.44,1
252601080211601,2016,3.0949999999999998,2
252601080211601,2017,3.32,1
252601080211601,2018,3.49,1
252601080211601,2019,3.44,1
252601080211601,2020,3.53,1
252601080211601,2021,3.62,1
252601080211601,2022,3.42,1
252601080211601,2023,3.62,1
252601080211601,2024,3.42,1
252601080211601,2025,3.67,1
252603080254101,2011,1.8,1
252603080254101,2012,1.525,2
252603080254101,2013,1.2,1
252603080254101,2014,1.54,1
252603080254101,2015,1.96,1
252603080254101,2016,1.69,1
252603080254101,2017,1.77,1
252603080254101,2018,1.9049999999999998,2
252603080254101,2019,1.61,1
252603080254101,2020,1.74,1
252603080254101,2021,1.66,1
252603080254101,2022,1.74,1
252603080254101,2023,1.82,1
252603080254101,2024,1.42,1
252603080254101,2025,1.86,1
252612080300701,1990,6.2325,4
252612080300701,1995,6.494999999999999,2
252612080300701,1996,5.95,1
252612080300701,1997,6.133333333333333,6
252612080300701,1998,5.831,10
252612080300701,1999,6.475,8
252612080300701,2000,5.986666666666667,6
252612080300701,2001,6.111666666666667,6
252612080300701,2002,6.025,4
252612080300701,2003,6.238333333333333,6
252612080300701,2004,6.91875,8
252612080300701,2005,5.89875,8
252612080300701,2006,6.424444444444444,9
252612080300701,2007,6.29,5
252612080300701,2008,6.588333333333334,6
252612080300701,2009,6.296666666666667,6
252612080300701,2010,6.155,6
252612080300701,2011,6.406666666666666,3
252612080300701,2012,6.322,5
252612080300701,2013,6.39625,8
252612080300701,2014,6.523333333333333,6
252612080300701,2015,6.441111111111111,9
252612080300701,2016,6.292857142857143,7
252612080300701,2017,6.47375,8
252612080300701,2018,6.621666666666667,6
252612080300701,2019,6.4959999999999996,5
252612080300701,2020,5.6240000000000006,10
252612080300701,2021,6.40375,8
252612080300701,2022,6.2425,4
252612080300701,2023,6.1075,4
